input_text,target_text
"Base caption: The happy couple is about to kiss
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The happy couple is about to kiss
"Base caption: Men look having fun while woman can't understand why and hence perplexed
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",Men look having fun while woman can't understand why and hence perplexed
"Base caption: Couple looks joyful, and woman also looks a little disgusted
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
","Couple looks joyful, and woman also looks a little disgusted"
"Base caption: A woman is happy but embarrassed because she in the center of attention of the journalists
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",A woman is happy but embarrassed because she in the center of attention of the journalists
"Base caption: Disappointed man is looking on the dead patient
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",Disappointed man is looking on the dead patient
"Base caption: A man looks serious and somewhat dumb with a cigarette in the mouth and another man looks at him with disgust
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",A man looks serious and somewhat dumb with a cigarette in the mouth and another man looks at him with disgust
"Base caption: Man looks despaired, he is incurably sick
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
","Man looks despaired, he is incurably sick"
"Base caption: Two policemen are laughing to kids as they are in school
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",Two policemen are laughing to kids as they are in school
"Base caption: Two men looks enterprising and bossy and have a coffee break with a discussion of business deals
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",Two men looks enterprising and bossy and have a coffee break with a discussion of business deals
"Base caption: Women look happy to visit and observe some cultural sightseeings
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",Women look happy to visit and observe some cultural sightseeings
"Base caption: The parents are disappointed in their son decisions
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",The parents are disappointed in their son decisions
"Base caption: A big family is happy to celebrate Christmas
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",A big family is happy to celebrate Christmas
"Base caption: The couple is dancing on the stage
Emotion: Neutral
Rewrite the above caption to fit the specified emotion:
",The couple is dancing on the stage
"Base caption: Two men are greeting other man
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",Two men are greeting other man
"Base caption: The group of people are laughing at something
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The group of people are laughing at something
"Base caption: Two men and a woman are happy to be together
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",Two men and a woman are happy to be together
"Base caption: The funny man is telling joke to the woman
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The funny man is telling joke to the woman
"Base caption: Men look cautious and serious
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",Men look cautious and serious
"Base caption: A man pointing the ceiling shows to the woman some stuff related to the work, and the woman listens attentively
Emotion: Neutral
Rewrite the above caption to fit the specified emotion:
","A man pointing the ceiling shows to the woman some stuff related to the work, and the woman listens attentively"
"Base caption: Worried man is running down the street
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",Worried man is running down the street
"Base caption: The group of people are screaming something
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",The group of people are screaming something
"Base caption: An old couple looks tired and a woman also bored, she tries to entertain herself with a cigarette
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
","An old couple looks tired and a woman also bored, she tries to entertain herself with a cigarette"
"Base caption: The man is arguing with the other man
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",The man is arguing with the other man
"Base caption: The man is disappointed in the happy speech of another man
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",The man is disappointed in the happy speech of another man
"Base caption: The scary woman is posing for photo
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",The scary woman is posing for photo
"Base caption: Two serious men are talking
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",Two serious men are talking
"Base caption: Amazed men are discussing the situation on the ship
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",Amazed men are discussing the situation on the ship
"Base caption: The old couple is happy to see each other
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The old couple is happy to see each other
"Base caption: Two calm men are calling for someone via telephone
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",Two calm men are calling for someone via telephone
"Base caption: The lady is disgusted about the man's obsessions with her
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",The lady is disgusted about the man's obsessions with her
"Base caption: A happy man is listening to the woman
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",A happy man is listening to the woman
"Base caption: Two women are angry at each other
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",Two women are angry at each other
"Base caption: The old woman and a young girl are amazed by a plant
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The old woman and a young girl are amazed by a plant
"Base caption: Two serious men are riding the bike
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",Two serious men are riding the bike
"Base caption: Two calm men are playing chess
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",Two calm men are playing chess
"Base caption: Men looking with distrust on the man who is conducting survey on them
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",Men looking with distrust on the man who is conducting survey on them
"Base caption: The people are enjoying the company of each other
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The people are enjoying the company of each other
"Base caption: Scared kid is talking with strange pig
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",Scared kid is talking with strange pig
"Base caption: Two men are having fun
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",Two men are having fun
"Base caption: Man looks ironic and smiling
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",Man looks ironic and smiling
"Base caption: The sad couple is traveling together
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",The sad couple is traveling together
"Base caption: A company of happy people is performing on the stage
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",A company of happy people is performing on the stage
"Base caption: The man is disappointed about something
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",The man is disappointed about something
"Base caption: Worried weaponized woman is listening to disappointed man
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",Worried weaponized woman is listening to disappointed man
"Base caption: The calm bartender is waiting for customers
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The calm bartender is waiting for customers
"Base caption: The joyful people are happy to be together
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The joyful people are happy to be together
"Base caption: The man is hugging the angry woman
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",The man is hugging the angry woman
"Base caption: The company is happy to be together
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The company is happy to be together
"Base caption: Two women are shocked by something
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",Two women are shocked by something
"Base caption: The woman is scared of something
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",The woman is scared of something
"Base caption: Officer is talking with anxious couple
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",Officer is talking with anxious couple
"Base caption: Woman is happy because she is walking in the park
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",Woman is happy because she is walking in the park
"Base caption: The woman is arguing with the man
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",The woman is arguing with the man
"Base caption: The company of nice men is happy to spend time together
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The company of nice men is happy to spend time together
"Base caption: The man is flirting with the woman
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The man is flirting with the woman
"Base caption: Two man are laughing and hugging each other
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",Two man are laughing and hugging each other
"Base caption: Anxious man is saying goodbye to his friends
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",Anxious man is saying goodbye to his friends
"Base caption: Woman is out of topic and distracted, there is grimace on her face
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
","Woman is out of topic and distracted, there is grimace on her face"
"Base caption: Angry man tries to shoot other man
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",Angry man tries to shoot other man
"Base caption: The man and the woman are discussing something
Emotion: Neutral
Rewrite the above caption to fit the specified emotion:
",The man and the woman are discussing something
"Base caption: Couple looks joyful and laughing
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",Couple looks joyful and laughing
"Base caption: A young couple looks romantic and flirty because they are in a cafe and trying to kiss
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",A young couple looks romantic and flirty because they are in a cafe and trying to kiss
"Base caption: Woman looks very happy and excited to be on the red carpet with celebrities
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",Woman looks very happy and excited to be on the red carpet with celebrities
"Base caption: The man is worried about something
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",The man is worried about something
"Base caption: Men look angry and annoyed, they gonna start fray
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
","Men look angry and annoyed, they gonna start fray"
"Base caption: Two calm and serious men are looking on something
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",Two calm and serious men are looking on something
"Base caption: Man looks confident and joyful, woman looks tricky and confident
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
","Man looks confident and joyful, woman looks tricky and confident"
"Base caption: A woman looks serious and distrustful to another woman who tries to customize her corset
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",A woman looks serious and distrustful to another woman who tries to customize her corset
"Base caption: The man is annoyed by something
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",The man is annoyed by something
"Base caption: The man is very happy about something
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The man is very happy about something
"Base caption: The anxious people are watching the game on the stadium
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",The anxious people are watching the game on the stadium
"Base caption: Two guys are happy to see each other
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",Two guys are happy to see each other
"Base caption: The anxious man along with his daughter are worried about something
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",The anxious man along with his daughter are worried about something
"Base caption: Two women are enjoying the conversation
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",Two women are enjoying the conversation
"Base caption: Happy couple is hugging and enjoying the time together
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",Happy couple is hugging and enjoying the time together
"Base caption: Anxious man is drawing something on the board
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",Anxious man is drawing something on the board
