input_text,target_text
"Base caption: A woman is mysteriously smiling, and a man looks at her
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
","A woman is mysteriously smiling, and a man looks at her"
"Base caption: Three girls and one man are amazed and interested in what they saw
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",Three girls and one man are amazed and interested in what they saw
"Base caption: Man looks happy
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",Man looks happy
"Base caption: Kids are happy and enjoy first snow in the year
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",Kids are happy and enjoy first snow in the year
"Base caption: The man is trying to harm the other man
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",The man is trying to harm the other man
"Base caption: A woman is smiling because she poses on some fashion exhibition
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",A woman is smiling because she poses on some fashion exhibition
"Base caption: The calm man is fixing something in the tube
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The calm man is fixing something in the tube
"Base caption: The fat woman is happy to sing on the stage
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The fat woman is happy to sing on the stage
"Base caption: The man and the woman are curious about something
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The man and the woman are curious about something
"Base caption: The woman is worried about the shocked man
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",The woman is worried about the shocked man
"Base caption: Scared woman protecting her kid
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",Scared woman protecting her kid
"Base caption: Man looks aggressive and decisive, he just killed some person
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
","Man looks aggressive and decisive, he just killed some person"
"Base caption: The woman is angry at the man
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",The woman is angry at the man
"Base caption: The woman is crying
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",The woman is crying
"Base caption: The woman is trying to harm the scared man
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",The woman is trying to harm the scared man
"Base caption: The old man is happy
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The old man is happy
"Base caption: The group of people are thinking about something
Emotion: Neutral
Rewrite the above caption to fit the specified emotion:
",The group of people are thinking about something
"Base caption: Woman looks indifferent and calm
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",Woman looks indifferent and calm
"Base caption: Concentrated man is preparing for a baseball pitch
Emotion: Neutral
Rewrite the above caption to fit the specified emotion:
",Concentrated man is preparing for a baseball pitch
"Base caption: A woman tries to help the man and treat his injury, and the man looks serious and in pain
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
","A woman tries to help the man and treat his injury, and the man looks serious and in pain"
"Base caption: Man is troubled because kite rope entangled in some junk on the ground
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",Man is troubled because kite rope entangled in some junk on the ground
"Base caption: Man is disappointed in another calm man
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",Man is disappointed in another calm man
"Base caption: The woman is screaming in pain
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",The woman is screaming in pain
"Base caption: Two interested kids are hiding from someone
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",Two interested kids are hiding from someone
"Base caption: The couple is happy to have a romantic dinner
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The couple is happy to have a romantic dinner
"Base caption: The man and the woman are happy to get marred
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The man and the woman are happy to get marred
"Base caption: Two men are scared of something
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",Two men are scared of something
"Base caption: The man and the woman are shocked by something
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",The man and the woman are shocked by something
"Base caption: Two men are shooting something
Emotion: Neutral
Rewrite the above caption to fit the specified emotion:
",Two men are shooting something
"Base caption: A policeman and a policewoman look serious and concentrated because they have to conduct an investigation and find some clues
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",A policeman and a policewoman look serious and concentrated because they have to conduct an investigation and find some clues
"Base caption: Women are surprised and confused, but they smiling
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
","Women are surprised and confused, but they smiling"
"Base caption: The happy couple is in a center of attention
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The happy couple is in a center of attention
"Base caption: An old man looks surprised with the answer of the girl
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",An old man looks surprised with the answer of the girl
"Base caption: Old man calms down young friend
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",Old man calms down young friend
"Base caption: The three military men are concentrated on their speech
Emotion: Neutral
Rewrite the above caption to fit the specified emotion:
",The three military men are concentrated on their speech
"Base caption: The calm man along with the woman are telling about something on tv show
Emotion: Neutral
Rewrite the above caption to fit the specified emotion:
",The calm man along with the woman are telling about something on tv show
"Base caption: A man looks insistent and asks to to take homeless cats which he carries in the box
Emotion: Neutral
Rewrite the above caption to fit the specified emotion:
",A man looks insistent and asks to to take homeless cats which he carries in the box
"Base caption: Two men are shocked by something
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",Two men are shocked by something
"Base caption: The group of people is having fun
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The group of people is having fun
"Base caption: The angry woman is arguing with the man
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",The angry woman is arguing with the man
"Base caption: The girl is happy to see her boyfriend
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The girl is happy to see her boyfriend
"Base caption: Women have different emotions but all are excited
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",Women have different emotions but all are excited
"Base caption: The calm bartender is waiting for customers
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The calm bartender is waiting for customers
"Base caption: The woman is laughing at something
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The woman is laughing at something
"Base caption: Two men are calm and serious about something
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",Two men are calm and serious about something
